CODIGO BIP,NOMBRE INICIATIVA,REGION,COMUNA,ETAPA POSTULA,COSTO TOTAL M$,AÑO POSTULACION,RATE,FECHA RATE,SECTOR,MAGNITUD,MAGNITUD VALOR,FUENTE FINANCIERA
40074365-0,"MEJORAMIENTO CAMINOS VECINALES SECTOR LAS JUNTAS Y TRES ESQUINAS, COMUNA DE CUNCO",REGION DE LA ARAUCANIA,CUNCO,EJECUCION,80.280,2026,,,TRANSPORTE,METROS,2000,FNDR
40002869-0,REPOSICION GIMNASIO MUNICIPAL DE TEODORO SCHMIDT,REGION DE LA ARAUCANIA,TEODORO SCHMIDT,EJECUCION,6.597.748,2026,RS,13/1/2026,DEPORTES,METROS CUADRADOS,2626,FNDR
30100226-0,"REPOSICION AV. MUÑOZ VARGAS ENTRE LA RUTA R-181 Y CALLE CHORRILLOS, VICTORIA",REGION DE LA ARAUCANIA,VICTORIA,EJECUCION,2.111.401,2026,,,VIVIENDA Y DESARROLLO URBANO,METROS CUADRADOS,15874,FNDR
40050434-0,"CONSTRUCCION MULTICANCHA DEPORTIVO CAUTIN, LAUTARO",REGION DE LA ARAUCANIA,LAUTARO,EJECUCION,90.000,2026,,,DEPORTES,METROS CUADRADOS,450,FNDR
40052127-0,"CONSTRUCCION INFRAESTRUCTURA SANITARIA, LOCALIDAD DE QUINO, COMUNA DE VICTORIA",REGION DE LA ARAUCANIA,VICTORIA,PREFACTIBILIDAD,98.948,2026,,,RECURSOS HIDRICOS,NRO. DE ARRANQUES TOTALES,247,FNDR
40080535-0,MEJORAMIENTO DE VÍAS EXCLUSIVAS SECTOR CENTRO DE TEMUCO,REGION DE LA ARAUCANIA,TEMUCO,EJECUCION,299.586,2026,,,TRANSPORTE,KILÓMETROS,2,FNDR
50000664-0,"REPOSICION Aceras calles P.L. Gallo, B. O’Higgins, P. Montt, J. Zegers y las Industrias, Comuna de Villarrica",REGION DE LA ARAUCANIA,VILLARRICA,EJECUCION,107.002,2026,,,VIVIENDA Y DESARROLLO URBANO,METROS CUADRADOS,1217,FNDR
40080600-0,"CONSTRUCCION CAMARAS FISCALIZADORAS SECTOR RURAL, COMUNA DE LOS SAUCES ",REGION DE LA ARAUCANIA,LOS SAUCES,EJECUCION,196.602,2026,,,TRANSPORTE,UNIDAD,15,FNDR
40052125-0,"CONSTRUCCION INFRAESTRUCTURA SANITARIA LOCALIDAD DE VILLA CAUTIN, COMUNA DE VICTORIA",REGION DE LA ARAUCANIA,VICTORIA,PREFACTIBILIDAD,74.486,2026,,,RECURSOS HIDRICOS,NRO. DE ARRANQUES TOTALES,27,FNDR
30131841-0,"CONSTRUCCION CESFAM NUEVO AMANECER, TEMUCO",REGION DE LA ARAUCANIA,TEMUCO,EJECUCION,13.876.117,2026,RS,14/8/2026,SALUD,METROS CUADRADOS,3172,FNDR
40070834-0,"MEJORAMIENTO PARQUE ISABEL RIQUELME, COMUNA DE LAUTARO",REGION DE LA ARAUCANIA,LAUTARO,DISEÑO,362.242,2026,RS,23/12/2025,VIVIENDA Y DESARROLLO URBANO,METROS CUADRADOS,500900,FNDR
40025709-0,"ADQUISICION DE EQUIPOS Y EQUIPAMIENTO SERVICIO DE BANCO DE SANGRE, HHHA TEMUCO",REGION DE LA ARAUCANIA,,EJECUCION,95.792,2026,,,SALUD,UNIDAD,76,FNDR
40080131-0,"REPOSICION PARADEROS EN RUTA S-60 ENTRE TEODORO SCHMIDT Y HUALPIN, COMUNA T. SCHMIDT",REGION DE LA ARAUCANIA,TEODORO SCHMIDT,EJECUCION,297.069,2026,,,TRANSPORTE,METROS CUADRADOS,2500,FNDR
40082354-0,"ADQUISICION DE GENERADORES DE RESPALDO PARA SISTEMAS APR, COMUNA DE CHOLCHOL",REGION DE LA ARAUCANIA,CHOL CHOL,EJECUCION,92.708,2026,,,MULTISECTORIAL,UNIDAD,6,FNDR
40077153-0,"ADQUISICION 1 RETROEXCAVADORA, 1 MOTONIVELADORA, 2 CAMIONES TOLVA  Y  1 CAMION  ALIJEBE,GALVARINO",REGION DE LA ARAUCANIA,GALVARINO,EJECUCION,762.462,2027,,,MULTISECTORIAL,UNIDAD,5,FNDR
40049682-0,"CONSERVACION PORTICO ACCESO, COMUNA DE PERQUENCO",REGION DE LA ARAUCANIA,PERQUENCO,EJECUCION,50.000,2026,,,TRANSPORTE,METROS CUADRADOS,226,FNDR
40008080-0,"MEJORAMIENTO CAMINO VECINAL MIRAFLORES-SAN RAMON CENTRAL, COMUNA DE LOS  SAUCES",REGION DE LA ARAUCANIA,LOS SAUCES,EJECUCION,94.038,2026,,,TRANSPORTE,METROS,1920,FNDR
40068741-0,"MEJORAMIENTO PLAZA BRASIL, TRAIGUÉN",REGION DE LA ARAUCANIA,TRAIGUEN,EJECUCION,233.346,2026,,,VIVIENDA Y DESARROLLO URBANO,METROS CUADRADOS,1,FNDR
30361046-0,"NORMALIZACION URGENCIA HOSPITAL HERNAN HENRIQUEZ ARAVENA, TEMUCO",REGION DE LA ARAUCANIA,TEMUCO,EJECUCION,3.975.706,2026,RS,12/1/2026,SALUD,METROS,2475,FNDR
