codigoBip,codigoParte,anio,codigoEtapaPostula,region
40071742,0,2026,6,177
40070768,0,2026,6,177
30461075,0,2026,6,177
40067788,0,2026,6,177
40026213,0,2026,6,177
40024540,0,2026,6,177
40006156,0,2026,6,177
40023710,0,2026,6,177
40039772,0,2026,6,177
40048296,0,2026,6,177
40072338,0,2026,6,177
40072723,0,2026,6,177
40062583,0,2026,6,177
40049358,0,2026,6,177
40068634,0,2026,6,177
40063364,0,2026,6,177
40070704,0,2026,6,177
30080556,0,2026,6,177
40023943,0,2026,6,177
40075222,0,2026,6,177
40002036,0,2026,6,177
40053490,0,2026,6,177
30460172,0,2026,5,177
40075310,0,2026,5,177
40069653,0,2026,3,177
30231672,0,2026,6,177
40020211,0,2026,6,177
40049870,0,2026,6,177
40068747,0,2026,6,177
40070472,0,2026,5,177
40002246,0,2026,6,177
40073569,0,2026,6,177
40069568,0,2026,5,177
40029327,0,2026,6,177
40019783,0,2026,5,177
40069986,0,2026,6,177
40076159,0,2026,6,177
40000938,0,2026,5,177
40000938,0,2026,6,177
40060096,0,2026,6,177
40038515,0,2026,6,177
40004714,0,2026,6,177
40046643,0,2026,6,177
40075027,0,2026,6,177
40071066,0,2026,6,177
40074756,0,2026,6,177
40032741,0,2026,5,177
40060674,0,2026,6,177
40061328,0,2026,6,177
30485337,0,2026,6,177
40031216,0,2026,6,177
40069570,0,2026,6,177
40066867,0,2026,6,177
40019575,0,2026,5,177
40006083,0,2027,6,177
40006083,0,2026,5,177
40030672,0,2026,6,177
30467433,0,2026,6,177
40069577,0,2026,6,177
30073030,0,2026,6,177
20153304,2,2026,6,177
30345076,0,2026,5,177
30081138,0,2026,6,177
30463675,0,2026,6,177
40081680,0,2026,6,177
40079833,0,2026,6,177
30384722,0,2026,6,177
40080829,0,2026,6,177
40081868,0,2026,6,177
40081027,0,2026,6,177
30442127,0,2026,6,177
30459418,0,2026,6,177
40067538,0,2026,6,177
40059794,0,2026,6,177
40071683,0,2026,6,177
40057641,0,2026,6,177
40080564,0,2026,6,177
40082872,0,2026,6,177
40072091,0,2026,5,177
40020031,0,2026,6,177
40070172,0,2026,6,177
40080471,0,2026,6,177
40070751,0,2026,6,177
40058954,0,2026,6,177
40070928,0,2026,6,177
40081923,0,2026,6,177
40069640,0,2026,6,177
40059375,0,2026,6,177
40080376,0,2026,6,177
40077920,0,2026,6,177
40081748,0,2027,5,177
40080392,0,2026,6,177
40071316,0,2026,6,177
40081620,0,2026,6,177
40081872,0,2026,6,177
30064321,0,2026,6,177
40080665,0,2026,6,177
40076256,0,2026,6,177
40009622,0,2026,6,177
40032089,0,2026,6,177
20178168,0,2026,5,177
30370369,0,2026,5,177
30267380,0,2026,6,177
20054441,0,2026,6,177
30083093,0,2026,6,177
30123000,0,2026,6,177
30126159,0,2026,6,177
20088311,0,2026,6,177
30370477,0,2026,6,177
30070275,0,2026,5,177
30096349,0,2026,6,177
40057734,0,2026,6,177
40045730,0,2026,6,177
40069637,0,2026,6,177
40063270,0,2026,6,177
40066766,0,2026,6,177
30484502,0,2026,6,177
40051808,0,2026,6,177
40070027,0,2026,6,177
40080708,0,2026,6,177
40045133,0,2026,6,177
40081878,0,2026,6,177
40058271,0,2026,6,177
40055736,0,2026,6,177
40070930,0,2026,6,177
40079658,0,2027,6,177
40081922,0,2026,6,177
40067093,0,2026,5,177
40072792,0,2026,6,177
30096407,0,2026,6,177
40082320,0,2026,6,177
20178214,0,2026,6,177
40053038,0,2026,5,177
40048281,0,2026,6,177
40069990,0,2026,6,177
40071044,0,2026,6,177
40061077,0,2026,6,177
40079585,0,2026,6,177
40071126,0,2026,6,177
50001322,0,2026,6,177
40080304,0,2026,6,177
40072225,0,2026,6,177
40056943,0,2026,6,177
40080580,0,2026,6,177
40061096,0,2026,5,177
40078736,0,2027,6,177
40078736,0,2026,6,177
40035371,0,2026,6,177
40008405,0,2026,5,177
30484483,0,2026,6,177
40082479,0,2026,6,177
40082483,0,2026,6,177
40082406,0,2026,6,177
40079667,0,2027,6,177
30099413,0,2026,5,177
40080476,0,2026,6,177
40027818,0,2026,6,177
40075864,0,2026,3,177
40082168,0,2026,6,177
30466033,0,2026,5,177
40068976,0,2026,6,177
40060083,0,2026,6,177
40004758,0,2026,6,177
30061964,0,2026,5,177
40061063,0,2026,3,177
40061063,0,2026,4,177
40046641,0,2026,6,177
40075075,0,2026,6,177
40081210,0,2026,6,177
40064582,0,2026,6,177
40050304,0,2026,6,177
40078104,0,2026,6,177
30136315,0,2026,6,177
40081411,0,2026,6,177
40048275,0,2026,6,177
40057423,0,2026,6,177
40080484,0,2026,6,177
40080009,0,2026,6,177
30482321,0,2026,6,177
40072275,0,2026,6,177
30407522,0,2026,5,177
40079674,0,2027,6,177
40050506,0,2026,6,177
40069047,0,2026,6,177
40077151,0,2026,5,177
40052889,0,2026,6,177
40077315,0,2026,5,177
40074365,0,2026,6,177
40077338,0,2027,6,177
40077338,0,2026,6,177
40002869,0,2026,6,177
40078045,0,2026,6,177
40082424,0,2026,6,177
40073101,0,2026,5,177
30100226,0,2026,6,177
40036755,0,2026,6,177
40080286,0,2026,6,177
40050434,0,2026,6,177
40052127,0,2026,3,177
40080535,0,2026,6,177
40080881,0,2026,6,177
50000664,0,2026,6,177
40080600,0,2026,6,177
40069567,0,2026,5,177
40069580,0,2026,5,177
40020021,0,2026,6,177
40075064,0,2026,6,177
40061646,0,2026,6,177
40052125,0,2026,3,177
30131841,0,2026,6,177
40069145,0,2026,5,177
40070834,0,2026,5,177
40025709,0,2026,6,177
40032335,0,2026,6,177
40024424,0,2026,6,177
40080131,0,2026,6,177
40082354,0,2026,6,177
40077153,0,2027,6,177
40069610,0,2026,6,177
30081385,0,2026,5,177
40049682,0,2026,6,177
40075741,0,2026,6,177
40078039,0,2026,6,177
40008080,0,2026,6,177
40068741,0,2026,6,177
30361046,0,2026,6,177
30475049,0,2026,6,177
40066861,0,2026,6,177
30256122,0,2026,6,177
40061778,0,2026,6,177
30486050,0,2026,5,177
40060088,0,2026,6,177
40053774,0,2026,6,177
40082441,0,2026,6,177
40082673,0,2026,6,177
40026368,0,2026,5,177
40075151,0,2026,6,177
40074827,0,2026,6,177
40082411,0,2026,6,177
40082421,0,2027,6,177
40024103,0,2026,6,177
40072406,0,2026,6,177
40072436,0,2026,6,177
40070356,0,2026,6,177
40031093,0,2026,5,177
40076440,0,2026,6,177
40001791,0,2026,6,177
40032580,0,2026,6,177
40011167,0,2026,6,177
40009621,0,2026,6,177
30073603,0,2026,5,177
40070924,0,2026,6,177
40029986,0,2026,6,177
40047436,0,2026,6,177
40054665,0,2026,6,177
40029496,0,2026,6,177
40029205,0,2026,5,177
40003665,0,2026,6,177
40070752,0,2026,6,177
40069625,0,2026,6,177
40052101,0,2026,3,177
30360375,0,2026,6,177
40045481,0,2026,5,177
40056899,0,2026,6,177
40062991,0,2026,5,177
30482320,0,2026,6,177
40071724,0,2026,5,177
40068266,0,2026,6,177
40056699,0,2026,5,177
30285772,0,2026,6,177
40069630,0,2026,5,177
40070743,0,2026,5,177
40074035,0,2026,6,177
40036779,0,2026,6,177
40075126,0,2026,6,177
40026929,0,2026,6,177
40064846,0,2026,6,177
30463592,0,2026,6,177
40071142,0,2026,6,177
40067087,0,2026,6,177
40074969,0,2026,6,177
40081053,0,2026,6,177
40064806,0,2026,6,177
40073733,0,2026,6,177
40082328,0,2027,5,177
40071743,0,2026,6,177
40071707,0,2026,6,177
40080470,0,2026,6,177
40081999,0,2026,6,177
40056794,0,2027,5,177
40082288,0,2026,6,177
40081012,0,2026,6,177
40062998,0,2026,6,177
40039993,0,2026,6,177
40039178,0,2027,6,177
40039178,0,2026,6,177
40063089,0,2026,6,177
40080571,0,2026,6,177
40058032,0,2027,6,177
40058032,0,2026,6,177
40065081,0,2026,3,177
40070664,0,2027,6,177
